질문,답변
개별관광 서비스는 뭐에요?,이용객 스스로 한강과 시민공원의 다양한 볼거리를 즐길 수 있습니다.
외국인 친구들과 타려고 하는데 괜찮은가요?,"네, 탑승 가능합니다. "
인원 제한이 있을까요?,"네, 10명입니다. "
몇 시 부터 운영하죠?,10월 기준 오전 10시부터 운영합니다. 
저녁에도 하나요?,"네, 오후 10시까지 운영합니다. "
금액은 얼마에요?,시간에 따라 달라집니다. 
한시간 정도 이용하고 싶은데요. ,13만원입니다. 
예약은 어디서하죠?,OOO로 연락하시면 됩니다. 
한강 수상택시관련 질문 있습니다. ,"네, 무엇을 도와드릴까요?"
제가 예전에 출퇴근셔틀을 이용했었는데 아직도 할까요?,"네, 운영중입니다. "
"네, 그 유람선 선착장 맞죠?",아니요. 유람선 선착장과는 별개입니다. 
여의도 승강장 탑승을 어디서 하죠?,여의나루역 3번출구에서 한강변으로 직진하시면 됩니다. 
도보로 얼마나 걸리나요?,5분정도 소요됩니다. 
요금이 2천원맞나요?,5천원입니다. 
"아, 올랐나봐요?","네, 그렇습니다. "
"퇴근할 때 7시에 탔었는데, 아직도 그런가요?",오후 7시는 폐지되었습니다. 
그럼 몇 시죠 지금은?,6시 반입니다. 
출발시간 바로 맞춰서 가도 될까요?,5분정도 전에 가시는 걸 권장드립니다. 
희망두배 청년통장에 대해 물을게 있어서요.,"네, 말씀하세요."
이게 신청할때 나중에 사용목적을 묻는다는데 맞나요?,"네, 맞습니다."
어떤 목적으로 사용할 수가 있나요?,"주거, 결혼, 교육, 창업 등입니다."
이걸 나중에 쓸 때 검사를 받나요?,사용계획서 심사 후 승인하면 적립금을 받을 수 있습니다.
그럼 사용계획서 제출하고 끝인가요?,1년간 사례관리를 실시합니다.
사례관리가 뭐죠?,어떤 목적으로 사용하는지 관리합니다.
주거라는 건 제가 전세집을 마련하는데 사용해도 되는거죠?,"네, 그렇습니다."
꼭 결혼 후에 해야하나요?,아닙니다.
아 그럼 결혼여부와는 상관없어요?,"네, 없습니다."
알겠습니다. 수고하세요.,"네, 감사합니다."
서울시 희망두배 청년통장 서류 준비중인데요.,"네, 무엇을 도와드릴까요?"
부모님이 이혼 후 어머니와 살고있는데 이럴경우 가구원에 포함해야 하나요?,"네, 그렇습니다."
개인정보를 적어야하는데 모르면 어떡하죠?,연락이 안되는 상태인가요?
"네, 맞아요.",가족관계해체 및 부양거부기피 사유서를 제출하실 수 있습니다.
그 서류도 홈페이지에서 받을 수 있나요?,"네, 맞습니다."
만약 이 서류를 내도 떨어질 확률이 있을까요?,사유서 작성 전에 문의하시는 게 좋습니다.
어디로 문의해야해요?,서울복지재단으로 문의하시면 됩니다.
방문해서 물어보면 될까요?,유선으로 연락하시면 됩니다.
전화번호 혹시 아시나요?,"네, OOO입니다. "
감사합니다. 수고하세요. ,"네, 감사합니다. "
제가 집에서 따로 나와서 자취중인데요.,"네, 무엇을 도와드릴까요?"
희망두배 청년통장 서류 제출할때 제 소득만 기재하면 될까요?,부양의무자의 소득액도 제출하셔야 합니다.
제가 등본상 세대주여도 그런가요?,"네, 거주하고는 상관이 없습니다."
소득 80프로 이하인지는 어디서 확인해요?,따로 조회할 수 있는 곳은 없습니다.
그럼 어떻게 알죠?,소득인정액은 소득평가액과 재산의 소극환산액을 더한 금액입니다.
소득평가액은 뭐에요?,실제소득에서 지출비용을과 근로소득 공제를 뺀 금액입니다.
재산의 소득환산액은요?,(재산 - 기본재산액 - 부채) × 소득환산율 입니다.
혹시 계산할 수 있는 사이트가 따로없나요?,"네, 현재는 없습니다."
주민센터가면 도움을 받을 수 있을까요?,서울복지재단으로 문의하시면 자세한 설명 받으실 수 있습니다.
번호가 몇번이죠?,OOO입니다. 
희망두배 통장 가입자인데요.,"네, 무엇을 도와드릴까요?"
"제가 저축한지 6개월 되었는데, 회사를 관둬야 할지도 몰라서요.",기간은 몇 년으로 되어있으신가요?
2년이요.,실직으로 중단하실경우 일시중지 신청하실 수 있습니다.
어디서 승인을 받아야하죠?,서울시 복지재단입니다.
일시중지는 최대 언제까지인가요?,최대 6개월입니다.
근데 월급 말고 부모님한테 받아서 계속 하면 안될까요?,근로소득으로 입금하셔야 합니다.
그런 중지기간동안은 장려금도 지급 되지않는거죠?,"네, 그렇습니다."
6개월 내에 다시 취직하면 다시 저축가능한거죠?,"네, 맞습니다."
아르바이트도 될까요?,"네, 가능합니다."
혹시 프리랜서도 가능한가요?,네 요건에 부합하면 가능합니다.
현재 대학생이고 과외로 돈을 버는데 희망두배 청년통장 신청 가능한가요?,근로소득을 어떻게 수령하시나요?
달달이 현금으로 받아요.,현금으로 수령시 신청이 불가합니다.
왜죠?,급여를 증명할 수 없기 때문입니다.
그럼 계좌이체로 받으면요?,별도의 양식과 통장사본을 제출하시면 됩니다.
별도의 양식이 뭐죠?,고용임금확인서 입니다.
"네, 자세한 조건을 확인하고 싶은데 어디서 볼 수 있나요?",희망두배 청년통장 홈페이지에서 확인하시면 됩니다.
"네, 감사합니다.",더 궁금하신 점 있습니까?
고용임금확인서는 그럼 제가 과외다니는 집에서 받으면 될까요?,"네, 그렇습니다."
그럼 그쪽 개인정보도 필요한가요?,기본적인 정보는 필요합니다.
알겠습니다. 수고하세요.,감사합니다.
서울사랑상품권 환불 할 수 있나요?,미사용 상품권은 7일 이내 전액 환불 가능합니다. 
환불은 어떻게 하죠?,결제 앱 사용 가능하신가요?
네. ,지금 안내 도와드릴까요?
네. ,상품권 총액 클릭하시면 환불하기가 있습니다. 
"네, 보여요. ",환불하기에서 상품권 선택 후 환불하기 클릭하시면 됩니다.
"아, 감사합니다. ",
,
,
,
,
서울사랑상품권 관련 질문이 있어서요. ,"네, 말씀하세요. "
이게 마포사랑 상품권이랑 다른가요?,서울 지역 내 자치구별 모바일화폐 통합 명칭이 서울사랑상품권 입니다. 
그럼 마포사랑상품권은 서울전역에서 사용 가능한가요?,발행 자치구 관내에서만 사용 가능합니다. 
그럼 마포구 어디에서 사용하는거에요?,제로페이 가맹점에서 사용 가능합니다. 
마트에서 쓸 수 있나요?,대형마트에서는 사용 불가능 합니다. 
아파트 앞에 작은 상점에서는요?,제로페이 홈페이지에서 가맹점 확인 가능합니다. 
제로페이 홈페이지 어디에요?,하단에 가맹점 누르시면 확인 가능합니다. 
제로페이 콜센터가 따로 있나요?,"네, 있습니다. "
번호 좀 알려주시겠어요?,OOO입니다. 
감사합니다. 수고하세요. ,"네, 감사합니다. "
재난 긴급생활비를 서울사랑상품권으로 발급받으려고 하는데요. ,"네, 무엇을 도와드릴까요?"
선불카드나 상품권 중 하나만 선택할 수 있나요?,"네, 맞습니다. "
서울사랑상품권 선택하면 서울 어디서든 다 쓸 수있는거죠?,"아니요, 발행 자치구 내에서만 사용 가능합니다. "
"아, 그럼 동대문구에서만 사용가능한건가요?","네, 발행받은 구에서만 사용하셔야 합니다."
그럼 선불카드는요?,선불카드는 서울시 내에서 사용 가능합니다. 
쇼핑도 가능한가요?,백화점이나 대형마트에서는 사용 불가능합니다. 
서울사랑상품권도 마찬가지인가요?,"네, 동일합니다. "
그럼 어디서 사용 가능한거에요?,제로페이 홈페이지에서 확인하실 수 있습니다. 
가맹점이 따로 있는거에요?,"네, 제로페이 가맹점에서 사용하실 수 있습니다. "
"네, 한 번 찾아볼게요. ","네, 감사합니다. "
재난 긴급생활비 선불카드로 신청했는데요. ,"네, 무엇을 도와드릴까요?"
지급 가능 대상인지 어떻게 확인하죠?,주소지 관할 동주민센터에서 확인가능합니다. 
제가 없을 때 대리인이 가도 될까요?,"대리인 방문시 신분증, 위임장 지참하셔야 합니다. "
위임장은 다운받아서 쓰나요?,"네, 서울시 복지포털 홈페이지에서 받으시면 됩니다. "
홈페이지 어디에요?,하단에 제출서류가 있습니다. 
"네, 이거만 가져가면 되는거죠?",자치구별로 다를 수 있어서 꼭 먼저 확인하시고 방문하세요. 
"네, 알겠습니다. ",
,
다산콜센터 해외에서도 상담 가능한가요?,"네, 가능합니다. "
번호는 똑같은가요?,OOOO로 하시면 됩니다. 
민원 24로 주민등록증 재발급 신청 가능한가요?,"네, 가능합니다. "
제가 해외에 있는데 괜찮을까요?,공인인증서가 있으면 가능합니다. 
부모님이 대리 수령 할 수 있나요?,수령은 본인 방문만 가능합니다. 
위임장 가져가도 안될까요?,"네, 불가능합니다. "
신청하면 언제까지 찾으러가야해요?,신청한 곳에서 6개월 이내에 찾아가면 됩니다. 
제가 받을 곳을 정할 수 있나요?,"네, 정하실 수 있습니다. "
6개월 지나면요?,주민등록지 동에서 찾을 수 있습니다. 
최대 언제까지 보관이 되나요?,3년이 지나면 폐기됩니다. 
재발급하는데 비용이 드나요?,"네, 3천원 입니다. "
알려주셔서 감사해요. ,"네, 감사합니다. "
보건증 발급은 주소지 관할 보건소에서만 할 수 있나요?,아니요. 주소지 관계없이 가능합니다.
그럼 보건소에서 어떻게 보건증을 받나요?,일단 보건소 민원실에서 접수를 하셔야 합니다. 
서류가 필요한가요?,신분증 지참하시면 됩니다. 
돈은 얼마나 드나요?,3천원 입니다. 
검사하는 시간은 얼마나 걸릴까요?,검사시간은 약 20분 입니다. 
어떤 검사하는거에요?,"변검사, 흉부검사가 있습니다. "
"네, 그럼 발급은 언제되는거에요?",검사일 포함 5일입니다. 
제가 다시 방문해야 하나요?,방문하셔도 됩니다. 
혹시 온라인 발급도 할 수 있으까요?,"네, 가능합니다. "
보건소 홈페이지에서 받을 수 있나요?,"네, 그렇습니다. "
안녕하세요. B형간염 접종관련 질문 있어서요. ,"네, 무엇을 도와드릴까요?"
보건소에서 접종 받을 수 있나요?,지역이 서울 맞으신가요?
네. ,"현재 동대문구, 종로구 보건소에서 접종 가능합니다. "
제가 주소지가 서울이 아닌데 여기서 접종 가능한가요?,"네, 가능합니다. "
혹시 동대문구 보건소 운영시간 알 수 있나요?,"네, 9시부터 오후 6시까지 입니다. "
접종은 그럼 아무때나 가면 되는거죠?,아니요. 미리 확인 후 방문 바랍니다. 
접종 시간이 정해져 있는건가요?,"네, 그 부분에 대해서 확인하셔야 합니다. "
"아, 알겠습니다. ",
,
,
임산부 보건소 혜택 문의 하려고 합니다. ,"네, 무엇을 도와드릴까요?"
철분제를 받을 수 있다고 하더라구요?,"네, 방문하시려는 보건소에 먼저 확인 후 방문하시기 바랍니다. "
"아, 아무 보건소나 가면 안되는거에요?","네, 지역마다 대상이 모두 상이합니다. "
주소지 관할 보건소로 가야하나요?,어떤 보건소는 거주지 상관없이 지급 가능하기도 합니다. 
혹시 그 보건소가 어디일까요?,중구보건소입니다. 
혹시 거기서도 코로나 검사 진행하나요?,질병관리청 홈페이지에서 확인 가능합니다. 
전화해서 물어봐도 될까요?,"네, 가능합니다."
전화번호 좀 알려주시겠어요?,"네, OOO입니다. "
임산부를 위한 다른 혜택도 있을까요?,방문하시려는 보건소에 확인해주세요. 
"네, 수고하세요. ",감사합니다. 
현재 청년월세지원 받고 있는데요. ,"네, 무엇을 도와드릴까요?"
제가 혹시 은행대출을 받게되면 월세지원이 끊기나요?,급여지급 기간 내 조건이 충족되면 지원은 계속 가능합니다. 
어떤 조건들이 있나요?,일단 주민등록상 서울시에 거주하고 무주택자이어야 합니다. 
"네, 그건 맞는데, 또 있나요?","기초생활수급자, 의료급여 등 수혜를 받으면 안됩니다. "
"아, 그럼 은행대출을 받아도 지원이 끊기거나 하지 않는거군요?","네, 맞습니다. "
알겠습니다. ,더 궁금한 사항이 있습니까?
혹시 월세는 얼마 이하 이런 조건이 있나요?,월세는 60만원 이하입니다. 
임차보증금은요?,1억 원 이하여야 합니다. 
청년월세지원 상담센터가 따로 있을까요?,"네, 있습니다. "
전화번호 알려주실 수 있으세요?,"네, 00입니다. "
청년월세지원에 대한 질문이 있습니다. ,"네, 무엇을 도와드릴까요?"
청년월세지원금을 신한은행으로만 받을 수 있나요?,지원금은 신한은행 입출금 통장으로만 받을 수 있습니다. 
지원금 받으려면 월세 계좌이체증을 내야하는거죠?,"네, 이체증을 확인 후 입금됩니다. "
제가 월세를 낸 계좌는 신한은행이 아닌데 어떡하죠?,지원금 받는 것만 신한은행 계좌로 하시면 됩니다. 
"아, 그럼 이체 내역은 타행으로도 가능하다는 거네요?","네, 맞습니다. "
